id,name,status,species,type,gender,origin,quantity_appeared
1,Rick Sanchez,Alive,Human,,Male,Earth (C-137),51
2,Morty Smith,Alive,Human,,Male,unknown,51
3,Summer Smith,Alive,Human,,Female,Earth (Replacement Dimension),42
4,Beth Smith,Alive,Human,,Female,Earth (Replacement Dimension),42
5,Jerry Smith,Alive,Human,,Male,Earth (Replacement Dimension),39
6,Abadango Cluster Princess,Alive,Alien,,Female,Abadango,1
7,Abradolf Lincler,unknown,Human,Genetic experiment,Male,Earth (Replacement Dimension),2
8,Adjudicator Rick,Dead,Human,,Male,unknown,1
9,Agency Director,Dead,Human,,Male,Earth (Replacement Dimension),1
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male,unknown,1
11,Albert Einstein,Dead,Human,,Male,Earth (C-137),1
12,Alexander,Dead,Human,,Male,Earth (C-137),1
13,Alien Googah,unknown,Alien,,unknown,unknown,1
14,Alien Morty,unknown,Alien,,Male,unknown,1
15,Alien Rick,unknown,Alien,,Male,unknown,1
16,Amish Cyborg,Dead,Alien,Parasite,Male,unknown,1
17,Annie,Alive,Human,,Female,Earth (C-137),1
18,Antenna Morty,Alive,Human,Human with antennae,Male,unknown,2
19,Antenna Rick,unknown,Human,Human with antennae,Male,unknown,1
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male,unknown,1
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male,unknown,2
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male,unknown,3
23,Arcade Alien,unknown,Alien,,Male,unknown,5
24,Armagheadon,Alive,Alien,Cromulon,Male,Signus 5 Expanse,1
25,Armothy,Dead,unknown,Self-aware arm,Male,Post-Apocalyptic Earth,1
26,Arthricia,Alive,Alien,Cat-Person,Female,Purge Planet,1
27,Artist Morty,Alive,Human,,Male,unknown,2
28,Attila Starwar,Alive,Human,,Male,unknown,3
29,Baby Legs,Alive,Human,Human with baby legs,Male,unknown,1
30,Baby Poopybutthole,Alive,Poopybutthole,,Male,unknown,1
31,Baby Wizard,Dead,Alien,Parasite,Male,unknown,1
32,Bearded Lady,Dead,Alien,Parasite,Female,unknown,1
33,Beebo,Dead,Alien,,Male,Venzenulon 7,1
34,Benjamin,Alive,Poopybutthole,,Male,unknown,3
35,Bepisian,Alive,Alien,Bepisian,unknown,Bepis 9,4
36,Beta-Seven,Alive,Alien,Hivemind,unknown,unknown,1
37,Beth Sanchez,Alive,Human,,Female,Earth (C-500A),1
38,Beth Smith,Alive,Human,,Female,Earth (C-137),8
39,Beth Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),1
40,Beth's Mytholog,Dead,Mythological Creature,Mytholog,Female,Nuptia 4,1
41,Big Boobed Waitress,Alive,Mythological Creature,,Female,Fantasy World,1
42,Big Head Morty,unknown,Human,Human with giant head,Male,unknown,1
43,Big Morty,Dead,Human,,Male,unknown,1
44,Body Guard Morty,Dead,Human,,Male,unknown,1
45,Bill,Alive,Human,,Male,Earth (C-137),1
46,Bill,unknown,Animal,Dog,Male,Earth (Replacement Dimension),1
47,Birdperson,Alive,Alien,Bird-Person,Male,Bird World,7
48,Black Rick,Alive,Human,,Male,unknown,2
49,Blamph,Alive,Alien,,unknown,unknown,1
50,Blim Blam,Alive,Alien,Korblock,Male,unknown,1
51,Blue Diplomat,Alive,Alien,,Male,unknown,1
52,Blue Footprint Guy,Dead,Human,,Male,Post-Apocalyptic Earth,1
53,Blue Shirt Morty,unknown,Human,,Male,unknown,1
54,Bobby Moynihan,Alive,Human,,Male,unknown,1
55,Boobloosian,Dead,Alien,Boobloosian,unknown,unknown,2
56,Bootleg Portal Chemist Rick,Dead,Human,,Male,unknown,1
57,Borpocian,Alive,Alien,Elephant-Person,Male,unknown,1
58,Brad,Alive,Human,,Male,Earth (Replacement Dimension),4
59,Brad Anderson,Dead,Human,,Male,Earth (Replacement Dimension),1
60,Calypso,Dead,Human,Superhuman,Female,unknown,1
61,Campaign Manager Morty,Dead,Human,,Male,unknown,1
62,Canklanker Thom,Dead,Alien,Gromflomite,Male,Gromflom Prime,1
63,Centaur,Alive,Mythological Creature,Centaur,Male,unknown,1
64,Chris,Dead,Alien,Organic gun,unknown,unknown,1
65,Chris,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,1
66,Coach Feratu (Balik Alistane),Dead,Mythological Creature,Vampire,Male,Earth (Replacement Dimension),1
